Polar MLT image start and end times
2007-12-18/00:00    2007-12-18/01:36
2007-12-18/07:02    2007-12-18/08:54
2007-12-18/08:56    2007-12-18/19:56
2007-12-19/04:14    2007-12-19/07:30
2007-12-19/07:32    2007-12-19/09:02
2007-12-20/00:00    2007-12-20/02:05
2007-12-20/02:07    2007-12-20/05:24
2007-12-20/08:15    2007-12-20/09:15
2007-12-20/14:02    2007-12-20/23:57
2007-12-21/00:01    2007-12-21/03:12
2007-12-21/09:10    2007-12-21/21:47
2007-12-22/04:08    2007-12-22/14:23
2007-12-22/14:25    2007-12-22/15:13
2007-12-22/15:32    2007-12-22/16:31
2007-12-22/21:37    2007-12-22/23:58
2007-12-23/00:06    2007-12-23/00:58
2007-12-23/01:01    2007-12-23/06:13
2007-12-23/06:15    2007-12-23/08:01
2007-12-23/08:05    2007-12-23/11:29
2007-12-23/16:07    2007-12-23/23:03
2007-12-23/23:05    2007-12-23/23:58
2007-12-24/00:00    2007-12-24/05:48
2007-12-24/11:04    2007-12-24/15:56
2007-12-24/15:58    2007-12-24/23:58
2007-12-25/05:30    2007-12-25/18:00
2007-12-26/00:00    2007-12-26/13:12
2007-12-26/17:49    2007-12-26/23:57
2007-12-27/00:21    2007-12-27/01:11
2007-12-27/01:13    2007-12-27/07:15
2007-12-27/07:42    2007-12-27/08:17
2007-12-27/16:58    2007-12-27/19:48
2007-12-28/00:02    2007-12-28/01:32
2007-12-28/07:45    2007-12-28/10:28
2007-12-28/10:31    2007-12-28/19:14
2007-12-28/19:16    2007-12-28/19:58
2007-12-29/02:19    2007-12-29/06:28
2007-12-29/06:31    2007-12-29/12:50
2007-12-29/12:52    2007-12-29/14:34
2007-12-29/20:28    2007-12-29/23:58
2007-12-30/00:00    2007-12-30/05:09
2007-12-30/05:11    2007-12-30/07:58
2007-12-30/08:01    2007-12-30/09:42
2007-12-30/14:57    2007-12-30/21:34
2007-12-30/21:54    2007-12-30/23:57
2007-12-31/00:00    2007-12-31/04:06
2007-12-31/09:45    2007-12-31/10:45
2007-12-31/10:49    2007-12-31/22:07
2008-01-02/00:00    2008-01-02/05:33
2008-01-02/05:35    2008-01-02/08:50
2008-01-02/09:15    2008-01-02/10:31
2008-01-02/10:33    2008-01-02/11:39
2008-01-02/16:34    2008-01-02/23:58
2008-01-03/00:15    2008-01-03/04:27
2008-01-03/04:29    2008-01-03/05:59
2008-01-03/11:36    2008-01-03/16:29
2008-01-03/16:31    2008-01-03/23:58
2008-01-04/00:00    2008-01-04/00:54
2008-01-04/06:20    2008-01-04/14:46
2008-01-04/14:51    2008-01-04/17:39
2008-01-05/00:46    2008-01-05/05:15
2008-01-05/05:17    2008-01-05/09:28
2008-01-05/09:30    2008-01-05/12:54
2008-01-05/18:40    2008-01-05/19:53
2008-01-05/19:55    2008-01-05/23:57
2008-01-06/00:00    2008-01-06/02:38
2008-01-06/02:40    2008-01-06/08:28
2008-01-06/13:23    2008-01-06/21:50
2008-01-06/21:52    2008-01-06/23:57
2008-01-07/00:00    2008-01-07/03:12
2008-01-07/08:07    2008-01-07/15:52
2008-01-07/15:54    2008-01-07/21:06
2008-01-08/04:08    2008-01-08/06:56
2008-01-08/06:58    2008-01-08/15:16
2008-01-08/20:47    2008-01-08/23:58
2008-01-09/00:00    2008-01-09/06:39
2008-01-09/06:41    2008-01-09/08:39
2008-01-09/09:24    2008-01-09/10:12
2008-01-09/15:28    2008-01-09/22:27
2008-01-09/22:29    2008-01-09/23:58
2008-01-10/00:00    2008-01-10/03:18
2008-01-10/10:20    2008-01-10/12:04
2008-01-10/12:06    2008-01-10/22:54
2008-01-11/04:46    2008-01-11/06:03
2008-01-11/06:05    2008-01-11/06:44
2008-01-11/06:46    2008-01-11/15:59
2008-01-11/16:01    2008-01-11/16:43
2008-01-12/00:33    2008-01-12/07:08
2008-01-12/07:10    2008-01-12/11:28
2008-01-12/17:32    2008-01-12/18:55
2008-01-12/21:39    2008-01-12/23:57
2008-01-13/00:00    2008-01-13/04:13
2008-01-13/04:15    2008-01-13/06:39
2008-01-13/12:20    2008-01-13/20:31
2008-01-13/21:16    2008-01-13/23:57
2008-01-14/00:01    2008-01-14/01:36
2008-01-14/07:31    2008-01-14/08:24
2008-01-14/08:26    2008-01-14/19:26
2008-01-15/01:14    2008-01-15/03:25
2008-01-15/03:35    2008-01-15/06:43
2008-01-15/06:46    2008-01-15/10:48
2008-01-15/10:51    2008-01-15/13:21
2008-01-15/18:52    2008-01-15/22:33
